"","category","longitude","latitude"
"598","music",-47.557668686,-15.396259339
"599","music",-85.930995776,40.004845781
"600","music",-86.14138386,42.408478253
"601","music",-90.040727033,41.157361737
"602","music",-93.640277778,43.261944444
"603","music",-87.665680195,41.883803727
"604","music",-93.7978363,41.2923012
"605","music",-111.42681,40.59318
"606","music",-122.983611111,44.393333333
"607","music",-105.2202,40.44782
"608","music",-87.665631777,41.883711162
"609","music",-113.49445,53.53452
"610","music",-94.1838,36.30301
"611","music",-80.71121,35.32799
"612","music",-81.561015808,41.191290503
"613","music",121.17657,24.92575
"614","music",-0.694863796,38.270717549
"615","music",-3.1867,51.4853
"616","music",-87.642819208,41.892289523
"617","music",-93.09833,44.94466
"618","music",-46.6973616,-23.6079011
"619","music",12.526003675,44.072139373
"620","music",4.9500198,52.3638306
"621","music",12.4745488,41.929705
"622","music",-76.997476299,38.908476392
"623","music",9.285965382,45.463677931
"624","music",-0.748948769,52.043938363
"625","music",-3.163834081,51.464763952
"626","music",-76.997476299,38.908476392
"627","music",-94.822876668,39.042359341
"628","music",144.967663057,-37.815505007
"629","music",5.290363536,51.700614055
"630","music",23.149878048,53.129785957
"631","music",-88.4477179,42.3142151
"632","music",-46.691767617,-23.592840198
"633","music",-77.034974098,-12.074700122
"634","music",9.15434,45.46675
"635","music",-86.778416551,36.157127455
"636","art",-74.00938,40.73946
"637","art",-74.00938,40.73946
"638","art",-111.940341214,33.424672877
"639","art",4.34397,50.80795
"640","art",-46.638807878,-23.545716035
"641","art",-87.8619454,41.9798489
"642","art",-118.35558,34.06218
"643","art",-76.22183,38.78122
"644","art",-118.2216374,34.0490386
"645","art",-118.2456129,34.0500403
"646","art",-0.12721,51.50643
"647","art",-111.830437638,33.414237096
"648","art",-112.073487796,33.467371805
"649","art",-117.750833528,34.057305615
"650","art",55.185634939,25.133929413
"651","art",-78.703313,35.810279846
"652","art",-95.399093628,29.76452639
"653","art",-73.97715,40.76108
"654","art",4.347607479,50.864651282
"655","art",121.063227009,14.57616427
"656","art",-81.078260113,41.785992573
"657","art",-0.09534,51.50819
"658","art",13.334794587,52.505429745
"659","art",-76.61622,39.28559
"660","art",-82.561316584,27.514817618
"661","art",4.83346,45.76715
"662","art",-81.350970268,28.594771401
"663","art",-118.3391647,34.1703415
"664","art",-77.039447,38.898867
"665","art",149.122946262,-35.284303236
"666","art",2.381822222,48.88235
"667","art",4.35077,50.85201
"668","art",-0.0817515,51.5010865
"669","art",4.87214,52.38611
"670","art",-122.468435404,37.771405889
"671","art",-82.325867644,27.932700031
"672","art",-117.168320503,32.723409497
"673","art",-81.6436,28.8025
"674","art",-87.9031249,30.5264402
"675","art",2.362233016,48.864637623
"676","art",-43.2089152,-22.912030419
"677","art",12.598073049,55.718521443
"678","art",-87.8957,30.5264
"679","art",114.172660218,22.283477159
"680","art",115.754270325,-32.047732614
"681","art",-84.3888104,33.7611232
"682","art",77.22239247,28.593312791
"683","art",77.12329,28.53134
"684","art",73.068635081,31.425584235
"685","art",-118.2483172,34.0490416
"686","art",74.358158998,31.505403832
"687","art",-121.974484921,37.239724447
"688","art",-46.63524,-23.53462
"689","art",24.152151065,45.797444474
"690","art",19.0503,47.4719
"691","art",-99.181398187,19.425168013
"692","art",-82.1335623,39.1576494
"693","art",-75.6676899,42.1547399
"694","art",-74.0064,40.7142
"695","art",-83.510102669,35.724473543
"696","art",2.351733237,48.860515827
"697","art",-88.181372675,43.424836295
"698","art",-97.330784515,32.753934059
"699","art",-96.834878594,33.151320556
"700","art",-78.985949,40.945529
"701","art",-111.940341214,33.424672877
"702","art",28.034109991,-26.203213075
"703","art",-73.56886,45.49706
"704","art",8.6361899,49.46916
"705","art",-51.231497496,-30.028962852
"706","art",-94.372198,45.978421
"707","art",4.359756364,50.843931668
"708","art",30.50519228,50.455427498
"709","art",-70.63159,-33.44901
"710","art",-97.161845156,32.8224935
"711","art",30.516309104,50.426613049
"712","art",-82.93182,39.979
"713","art",114.164489669,22.282505911
"714","art",9.668462276,54.312167299
"715","art",-83.51893988,35.709444993
"716","art",3.154069221,36.733356699
"717","art",-70.631543398,-33.449472221
"718","art",-68.129457456,-16.51233113
"719","art",11.64599,52.13765
"720","art",-46.6525497,-23.5893898
"721","art",13.79,51.5714
"722","art",16.868452276,41.118810253
"723","art",-0.353021622,39.455812025
"724","art",-81.220626972,42.987645585
"725","art",-46.650781631,-23.58921927
"726","art",32.803175919,39.911079139
"727","art",12.481261279,41.897826185
"728","art",-99.1535416,19.4811306
"729","art",16.467957931,51.261893145
"730","art",144.96905379,-37.822534944
"731","art",-81.04168,33.99942
"732","art",-80,40.444
"733","art",-0.0162352,51.5290955
"734","art",-123.022257,45.694345
"735","art",-93.273672908,44.958556576
"736","art",-80.58036902,35.409923528
"737","art",-73.568769258,45.485234255
"738","art",2.35284,48.85702
"739","art",-97.139037583,30.6908372
"740","art",-46.63524,-23.53462
"741","art",-89.5261,34.3597
"742","art",-96.61543,33.19763
"743","art",-85.670539575,42.96896764
"744","art",-118.310661831,34.181796354
"745","art",4.4,51.2167
"746","art",-86.1439,39.87794
"747","art",-85.73143,38.2398591
"748","art",-86.74926,36.17703
"749","art",-94.5798111,39.0849686
"750","art",2.325845026,48.860186144
"751","art",-81.03722404,41.320203932
"752","art",-74.7527,40.20962
"753","art",101.699378977,2.98105716
"754","art",-83.004069328,39.956530315
"755","art",-78.9072,35.9886
"756","art",-81.966356107,33.475935269
"757","art",-77.615691136,43.146693053
"758","art",-88.984701549,40.50951246
"759","art",-121.898664,48.119973
"760","art",3.1703701,36.7113419
"761","art",-57.532708,-37.9316539
"762","art",2.312364629,48.866156183
"763","art",2.312364629,48.866156183
"764","art",-83.70896225,31.138333533
"765","art",-93.7538283,36.3089431
"766","art",2.3622501,48.8646317
"767","art",-74.0064,40.7142
"768","art",-1.26667,48.95
"769","art",120.483333333,14.433333333
"770","art",-96.707773285,32.98519435
"771","art",-5.153599051,50.348448771
"772","art",-121.8624068,36.5945664
"773","art",-86.049237298,35.473296787
"774","art",57.345628738,-20.45532278
"775","art",-82.6870691,27.9893703
"776","art",-80.7335663,27.3598804
"777","art",-79.49324,39.86867
"778","art",27.497062683,47.167309701
"779","art",-83.76349,34.10691
"780","art",-80.638961792,24.913276072
"781","art",10.8333,35.7833
"782","art",-74.0064,40.7142
"783","art",-82.40378699,39.938679458
"784","art",21.0214,52.14504
"785","art",-116.237221,33.679974
"786","art",23.74319315,37.973314035
"787","art",-116.237221,33.679974
"788","art",-95.89034065,41.237371606
"789","art",-0.91039,52.58052
"790","art",-96.828301179,32.748630695
"791","art",12.4848323,41.9090777
"792","art",-106.489573765,31.759014997
"793","art",-86.354866903,35.5898449
"794","art",-0.60104,52.52438
"795","art",-1.2683899,52.88745
"796","art",13.457919467,52.476295251
"797","art",18.030100903,46.868288517
"798","art",-78.872959552,42.884856282
"799","art",-74.728278284,39.685737017
"800","art",-0.368343896,48.69996168
"801","art",16.361378919,48.234620141
"802","art",-2.764068982,48.512970915
"803","art",13,51.9833
"804","art",-87.672941,41.856175
"805","art",-79.7407999,36.652
"806","art",-92.264904176,34.754840568
"807","art",-121.863,36.5944
"808","art",-79.04491946,43.164487211
"809","art",5.693,58.954
"810","art",-46.664943695,-23.61576383
"811","art",-82.40378699,39.938679458
